"id","amascat","stat","value"
605,"lo","bis_selfcntrl",2.16666666666667
606,"lo","bis_selfcntrl",2.5
607,"hi","bis_selfcntrl",2
608,"hi","bis_selfcntrl",2.33333333333333
609,"hi","bis_selfcntrl",2.16666666666667
610,"lo","bis_selfcntrl",2.16666666666667
611,"lo","bis_selfcntrl",2
612,"lo","bis_selfcntrl",1.83333333333333
613,"lo","bis_selfcntrl",2.83333333333333
614,"lo","bis_selfcntrl",1.5
615,"lo","bis_selfcntrl",1.5
616,"lo","bis_selfcntrl",2.16666666666667
617,"hi","bis_selfcntrl",1.33333333333333
618,"lo","bis_selfcntrl",2
619,"lo","bis_selfcntrl",2.83333333333333
620,"hi","bis_selfcntrl",2.16666666666667
621,"lo","bis_selfcntrl",2.5
622,"hi","bis_selfcntrl",2.5
625,"lo","bis_selfcntrl",1.66666666666667
626,"hi","bis_selfcntrl",2.83333333333333
627,"hi","bis_selfcntrl",2
628,"hi","bis_selfcntrl",1.83333333333333
629,"hi","bis_selfcntrl",2.66666666666667
630,"hi","bis_selfcntrl",2.5
631,"hi","bis_selfcntrl",2.66666666666667
632,"hi","bis_selfcntrl",3.5
633,"lo","bis_selfcntrl",3.16666666666667
634,"hi","bis_selfcntrl",2.83333333333333
635,"lo","bis_selfcntrl",2.16666666666667
636,"hi","bis_selfcntrl",1.83333333333333
637,"hi","bis_selfcntrl",1.5
638,"lo","bis_selfcntrl",2
640,"lo","bis_selfcntrl",2.33333333333333
641,"lo","bis_selfcntrl",2
642,"hi","bis_selfcntrl",2.33333333333333
643,"lo","bis_selfcntrl",1.66666666666667
644,"hi","bis_selfcntrl",1.5
645,"lo","bis_selfcntrl",2
646,"lo","bis_selfcntrl",2.16666666666667
647,"hi","bis_selfcntrl",1.66666666666667
648,"hi","bis_selfcntrl",2.83333333333333
649,"hi","bis_selfcntrl",2.83333333333333
650,"lo","bis_selfcntrl",2
651,"lo","bis_selfcntrl",1
652,"hi","bis_selfcntrl",2.33333333333333
653,"lo","bis_selfcntrl",2.83333333333333
654,"lo","bis_selfcntrl",2.66666666666667
655,"lo","bis_selfcntrl",1.33333333333333
602,"hi","bis_cogcomplex",1.4
603,"hi","bis_cogcomplex",2.2
604,"hi","bis_cogcomplex",2.2
605,"lo","bis_cogcomplex",2.4
606,"lo","bis_cogcomplex",2.4
607,"hi","bis_cogcomplex",2.6
608,"hi","bis_cogcomplex",2.6
609,"hi","bis_cogcomplex",2.4
610,"lo","bis_cogcomplex",2
611,"lo","bis_cogcomplex",2
612,"lo","bis_cogcomplex",2.6
613,"lo","bis_cogcomplex",2.6
614,"lo","bis_cogcomplex",1.8
615,"lo","bis_cogcomplex",1.4
616,"lo","bis_cogcomplex",2
617,"hi","bis_cogcomplex",2.6
618,"lo","bis_cogcomplex",2.2
619,"lo","bis_cogcomplex",2
620,"hi","bis_cogcomplex",2.2
621,"lo","bis_cogcomplex",3
622,"hi","bis_cogcomplex",2.4
625,"lo","bis_cogcomplex",3.2
626,"hi","bis_cogcomplex",2.6
627,"hi","bis_cogcomplex",2
628,"hi","bis_cogcomplex",2.6
629,"hi","bis_cogcomplex",3
630,"hi","bis_cogcomplex",2.4
631,"hi","bis_cogcomplex",3
632,"hi","bis_cogcomplex",2.8
