"id","amascat","biscat","amas_learn","amas_eval","amas","bis_ATT","bis_MTR","bis_NPL","bis","mathtask","value","difficulty","subject","stat"
615,"lo","hi",1.4,3,2.11111111111111,3,2.18181818181818,1.45454545454545,2.13333333333333,"hardmathtime",4232.8875,"hard","math","time"
616,"lo","lo",1,1.5,1.22222222222222,2.25,2,2.09090909090909,2.1,"hardmathtime",3856.325,"hard","math","time"
617,"hi","lo",3,5,3.88888888888889,2.125,1.72727272727273,1.90909090909091,1.9,"hardmathtime",3956.5,"hard","math","time"
618,"lo","lo",1,2,1.44444444444444,1.375,1.63636363636364,2.09090909090909,1.73333333333333,"hardmathtime",4017.05,"hard","math","time"
619,"lo","hi",1.2,1,1.11111111111111,2.875,1.90909090909091,2.45454545454545,2.36666666666667,"hardmathtime",4080.0125,"hard","math","time"
620,"hi","lo",4.8,4.75,4.77777777777778,2.25,1.45454545454545,2.18181818181818,1.93333333333333,"hardmathtime",3368.9125,"hard","math","time"
621,"lo","hi",1,3,1.88888888888889,1.625,2.36363636363636,2.72727272727273,2.3,"hardmathtime",4802.5625,"hard","math","time"
622,"hi","hi",2.4,4.25,3.22222222222222,2.625,2.36363636363636,2.45454545454545,2.46666666666667,"hardmathtime",2984.0125,"hard","math","time"
625,"lo","lo",1,3.25,2,1.875,1.54545454545455,2.36363636363636,1.93333333333333,"hardmathtime",4608.8375,"hard","math","time"
626,"hi","hi",2.8,3,2.88888888888889,2.25,2.09090909090909,2.72727272727273,2.36666666666667,"hardmathtime",2747.3125,"hard","math","time"
627,"hi","lo",2.2,4.25,3.11111111111111,1.625,1.45454545454545,2,1.7,"hardmathtime",4507.7375,"hard","math","time"
628,"hi","lo",1.6,3.25,2.33333333333333,1.5,1.90909090909091,2.18181818181818,1.9,"hardmathtime",3820.725,"hard","math","time"
629,"hi","hi",2.8,3,2.88888888888889,2,2.18181818181818,2.81818181818182,2.36666666666667,"hardmathtime",4447.5,"hard","math","time"
630,"hi","hi",3.6,4.5,4,2.375,2,2.45454545454545,2.26666666666667,"hardmathtime",4302.45,"hard","math","time"
631,"hi","hi",3.4,4,3.66666666666667,2.5,2.36363636363636,2.81818181818182,2.56666666666667,"hardmathtime",2401.125,"hard","math","time"
632,"hi","lo",3,3,3,1.75,1.27272727272727,3.18181818181818,2.1,"hardmathtime",3371.8125,"hard","math","time"
633,"lo","hi",1,1.25,1.11111111111111,1.75,1.54545454545455,3,2.13333333333333,"hardmathtime",4371.8125,"hard","math","time"
634,"hi","hi",2.8,3.25,3,2.75,2.27272727272727,2.72727272727273,2.56666666666667,"hardmathtime",4764.7125,"hard","math","time"
635,"lo","hi",1,1,1,2.75,2.90909090909091,2.27272727272727,2.63333333333333,"hardmathtime",4072.1625,"hard","math","time"
636,"hi","hi",3.2,4,3.55555555555556,2.5,2.09090909090909,2,2.16666666666667,"hardmathtime",3735.975,"hard","math","time"
637,"hi","lo",2.4,4.25,3.22222222222222,2.375,1.54545454545455,1.90909090909091,1.9,"hardmathtime",4412.0375,"hard","math","time"
638,"lo","hi",1.2,2.25,1.66666666666667,2.375,2.18181818181818,2.18181818181818,2.23333333333333,"hardmathtime",4099.0625,"hard","math","time"
640,"lo","lo",1,3.5,2.11111111111111,2.125,1.63636363636364,2.36363636363636,2.03333333333333,"hardmathtime",4205.1875,"hard","math","time"
641,"lo","lo",1.6,2.25,1.88888888888889,2.125,2.09090909090909,2.09090909090909,2.1,"hardmathtime",3135.5875,"hard","math","time"
642,"hi","hi",1.8,3.75,2.66666666666667,2.125,2,2.54545454545455,2.23333333333333,"hardmathtime",3853.25,"hard","math","time"
643,"lo","lo",1,2.5,1.66666666666667,1.5,1.72727272727273,1.81818181818182,1.7,"hardmathtime",4973.125,"hard","math","time"
644,"hi","lo",2.6,4.5,3.44444444444444,1.25,1.36363636363636,1.45454545454545,1.36666666666667,"hardmathtime",4075.6875,"hard","math","time"
645,"lo","lo",1,2,1.44444444444444,1.75,1.90909090909091,2.54545454545455,2.1,"hardmathtime",4178.7875,"hard","math","time"
646,"lo","lo",1.4,2.5,1.88888888888889,1.75,1.54545454545455,2.18181818181818,1.83333333333333,"hardmathtime",4237.775,"hard","math","time"
647,"hi","lo",1.8,5,3.22222222222222,2.25,2.18181818181818,1.45454545454545,1.93333333333333,"hardmathtime",4206.2875,"hard","math","time"
648,"hi","lo",2.8,3.25,3,1.5,1.36363636363636,2.45454545454545,1.8,"hardmathtime",4795.4625,"hard","math","time"
649,"hi","hi",1.4,4.5,2.77777777777778,2.125,2.09090909090909,2.72727272727273,2.33333333333333,"hardmathtime",4021.4625,"hard","math","time"
650,"lo","lo",1,2.5,1.66666666666667,1.5,1.36363636363636,2,1.63333333333333,"hardmathtime",4289.825,"hard","math","time"
651,"lo","lo",1,1.5,1.22222222222222,1.5,1.81818181818182,1.18181818181818,1.5,"hardmathtime",3393.05,"hard","math","time"
652,"hi","lo",1.6,3.5,2.44444444444444,2.25,1.72727272727273,2.27272727272727,2.06666666666667,"hardmathtime",3828.65,"hard","math","time"
